Velocity,Lean,Pitch,Yaw,Status
18.23006,-23.34055,0.1182144,-66.10007,Not Crashed
21.17405,-38.23764,0.07250162,34.28361,Not Crashed
23.38144,26.90362,0.3286654,95.03596,Not Crashed
21.3271,-26.35681,0.1246169,37.95008,Not Crashed
40.63968,-33.15372,0.2287744,108.4679,Not Crashed
45.48486,5.705637,-2.776398,135.4089,Not Crashed
23.24145,-21.30481,-0.5052795,130.4397,Not Crashed
44.76874,-34.67755,-2.375336,-171.1854,Not Crashed
40.84431,-73.18924,-6.370819,-166.4942,Crashed
20.55015,24.65626,-4.239929,-117.3591,Not Crashed
40.7003,-26.04205,-1.341736,-117.4187,Not Crashed
32.12151,-10.18298,0.1455797,-95.40338,Not Crashed
19.39879,14.0832,-3.850433,-115.6697,Not Crashed
10.24797,33.73063,0.3193975,-149.0898,Not Crashed
7.507377,-35.9743,0.5022339,174.3551,Not Crashed
8.769985,-72.01669,-7.408417,-173.8963,Crashed
2.572698,-0.7554321,-3.432892,-159.4857,Not Crashed
2.18532,-71.17728,-8.289124,-177.8026,Crashed
2.852493,7.877917E-07,-2.813904,-169.8147,Not Crashed
9.090942,9.224086,-0.5723572,-143.9091,Not Crashed
39.48045,32.41578,-1.764771,153.9019,Not Crashed
31.64992,-39.91772,-2.815491,-144.0116,Not Crashed
10.573,-41.74442,1.222861,-41.34418,Not Crashed
15.91407,30.35793,-2.63623,63.00937,Not Crashed
11.35899,-9.519073,-2.55484,5.311224,Not Crashed
29.93281,-12.3555,-2.864716,1.506165,Not Crashed
44.72842,13.8494,0.512321,-19.92346,Not Crashed
48.1115,3.347199,-2.710876,9.440278,Not Crashed
30.9746,-25.23859,-1.464783,-2.626312,Not Crashed
50.23823,-15.17767,-2.519989,46.03166,Not Crashed
8.8478,-37.53821,1.840414,79.36534,Crashed
28.99405,-3.424285E-06,-2.034851,-2.235528E-06,Not Crashed
29.95004,-15.66214,-3.612274,20.95522,Not Crashed
36.09953,42.90915,-0.6959839,-11.6424,Not Crashed
39.40742,42.39244,-11.63623,-35.38998,Crashed
14.24078,-10.95398,-0.9436951,8.14141,Not Crashed
45.53465,1.143004,-2.903839,3.240629,Not Crashed
51.24176,73.53695,74.6347,92.18543,Crashed
3.729838,-0.01144409,-0.1045532,-96.15491,Not Crashed
7.990429,19.35462,-0.5372009,126.7727,Not Crashed
9.717111,18.14272,0.7755424,-175.5036,Not Crashed
23.46438,-27.56903,-2.928101,163.7822,Not Crashed
48.10462,-29.6348,-2.386261,-154.6899,Not Crashed
44.72881,-31.15643,-2.325226,-149.8312,Crashed
10.79056,-0.007263184,-0.4747925,169.8259,Not Crashed
22.7945,-5.853912,-3.332245,8.036893,Not Crashed
48.0848,-6.48288,-2.741516,7.203501,Not Crashed
37.09579,22.72392,1.274245,-11.56827,Not Crashed
12.40693,34.05732,-1.482635,-98.98248,Not Crashed
7.00975,-20.14703,-1.134338,39.80438,Not Crashed
4.623565,-70.87372,14.0648,107.6689,Crashed
17.42914,-4.012909,-0.3374939,5.1113,Not Crashed
18.76578,-18.75015,-0.001171164,-8.427185,Not Crashed
18.10007,12.73565,-1.684296,24.12656,Not Crashed
39.65122,12.72668,-2.700531,-4.301758,Not Crashed
13.80048,8.781448,-0.5211487,-25.83398,Not Crashed
32.99268,18.04022,-4.179047,-4.611176,Not Crashed
29.87691,-21.91772,-3.530243,20.25804,Not Crashed
27.43256,72.5001,-3.241333,27.6221,Crashed
10.36649,-21.15631,-0.02575684,120.6169,Not Crashed
7.275488,-24.79889,-1.937042,10.59753,Not Crashed
7.737207,28.02241,-0.2698975,-74.76233,Not Crashed
15.48794,-26.92072,0.4561925,-11.23776,Not Crashed
17.02431,-45.89487,-0.2353821,74.2049,Not Crashed
31.08297,-22.79471,-0.1867371,156.2472,Not Crashed
21.86986,3.751649,-1.796112,9.851741,Not Crashed
43.82994,-5.777496,-3.652618,9.326641,Not Crashed
46.82085,71.94299,2.028682,2.522322,Crashed
21.9975,0,0,-10.01556,Not Crashed
7.28477,24.63998,-0.02990723,-17.2261,Not Crashed
6.448103,-3.252441,-0.6246338,144.9106,Not Crashed
25.6567,-14.17426,-1.141815,155.9605,Not Crashed
5.689854,-0.1302185,-0.6504517,-97.0488,Not Crashed
26.56501,-7.016296,-4.622772,12.27654,Not Crashed
37.28386,3.627711,0.5318939,6.858141,Not Crashed
47.59528,16.38954,-2.747192,-4.225616,Not Crashed
32.43051,61.77554,1.847203,-45.90692,Not Crashed
33.26281,70.31616,0.6022972,-48.61099,Crashed
15.72899,-24.2883,-2.104004,63.81567,Not Crashed
20.95494,-39.33142,-0.1653442,163.9981,Not Crashed
19.7397,18.69474,-0.9028625,-159.2888,Not Crashed
34.20458,20.08804,-3.12735,170.7395,Not Crashed
42.40094,-41.03986,-2.414795,-145.8756,Not Crashed
12.08027,-39.92999,-2.452545,-142.8468,Crashed
13.59951,-69.03998,-14.20947,-164.4626,Not Crashed
13.59951,-73.76767,-14.20947,-164.4626,Crashed
11.23315,15.35543,-3.800232,-126.3182,Not Crashed
17.19643,-14.1105,-3.813934,174.9315,Not Crashed
27.51511,-42.86734,-1.752045,-148.8235,Not Crashed
22.45901,-39.59921,-3.088409,-1.158722,Not Crashed
32.77518,32.6957,0.2121261,17.07263,Not Crashed
36.5991,-31.01309,-2.769196,7.166856,Not Crashed
10.26464,-19.42151,-0.2825317,17.16623,Crashed
5.453053,-2.901672,-5.3685,37.31552,Not Crashed
7.773917,71.76227,-3.903564,86.96866,Crashed
2.745192,0.08996796,-1.984985,92.3308,Not Crashed
21.7173,34.58329,2.001285,-22.25165,Not Crashed
25.45234,-23.41,-0.7777405,-14.01965,Not Crashed
46.82781,21.25386,-2.702576,1.840073,Not Crashed
46.40929,-8.895416,-2.94162,38.99903,Not Crashed
27.87914,-35.97098,0.2475576,59.15055,Not Crashed
39.70279,20.51923,-1.936249,128.0232,Not Crashed
45.36602,20.09301,-3.297333,99.578,Not Crashed
